,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
3,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.17054263565891473,0.8611111111111112,0.0
4,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.3875968992248062,0.4444444444444444,0.0
6,0.0,1.0,1.0,0.25,0.8333333333333334,0.4166666666666667,0.6821705426356589,0.5555555555555556,0.0
9,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
10,0.0,0.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.4418604651162791,0.5,0.0
12,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.5503875968992248,0.5,0.0
13,0.0,1.0,1.0,0.25,1.0,0.75,0.2713178294573643,0.6388888888888888,0.0
14,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.46511627906976744,0.8611111111111112,0.0
15,0.0,1.0,1.0,0.25,0.5,0.08333333333333333,0.2868217054263566,0.8611111111111112,0.0
21,0.0,1.0,0.0,0.25,0.8333333333333334,0.4166666666666667,0.18604651162790697,0.3333333333333333,0.0
22,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.9147286821705426,0.8611111111111112,0.0
23,0.0,1.0,0.0,0.25,0.5,0.75,0.46511627906976744,0.8611111111111112,0.0
27,0.0,1.0,0.0,0.25,0.0,0.4166666666666667,0.3875968992248062,0.4444444444444444,0.0
29,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.20155038759689922,0.027777777777777776,0.0
30,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.17054263565891473,0.19444444444444445,0.0
31,0.0,1.0,0.0,0.25,0.0,0.75,0.17054263565891473,0.3333333333333333,0.0
32,0.0,1.0,1.0,0.25,0.3333333333333333,0.75,0.17829457364341086,0.6388888888888888,0.0
37,0.0,0.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.6744186046511628,0.3333333333333333,0.0
39,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.027777777777777776,0.0
42,0.0,0.0,0.0,0.25,0.3333333333333333,0.08333333333333333,0.17054263565891473,0.3333333333333333,0.0
43,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.20155038759689922,0.19444444444444445,0.0
44,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.17054263565891473,0.19444444444444445,0.0
46,0.0,0.0,0.0,0.25,0.3333333333333333,0.08333333333333333,0.06201550387596899,0.5,0.0
47,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.027777777777777776,0.0
49,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.2868217054263566,0.19444444444444445,0.0
50,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.31007751937984496,0.6944444444444444,0.0
51,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.24031007751937986,0.027777777777777776,0.0
53,0.0,0.0,0.0,0.25,0.0,0.08333333333333333,0.3023255813953488,0.5,0.0
58,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.17054263565891473,0.6111111111111112,0.0
59,0.0,1.0,1.0,0.25,1.0,0.75,0.4418604651162791,0.25,0.0
60,0.0,1.0,1.0,0.0,0.3333333333333333,0.08333333333333333,0.24031007751937986,0.3055555555555556,0.0
61,0.0,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,0.3178294573643411,0.9444444444444444,0.0
63,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3875968992248062,0.19444444444444445,0.0
71,0.0,1.0,1.0,0.25,0.0,0.3333333333333333,0.06201550387596899,0.19444444444444445,0.0
72,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
74,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.4496124031007752,0.027777777777777776,0.0
75,0.0,1.0,1.0,0.25,0.8333333333333334,0.4166666666666667,0.23255813953488372,0.3333333333333333,0.0
76,0.0,1.0,1.0,0.25,0.0,0.3333333333333333,0.3875968992248062,0.4444444444444444,0.0
77,0.0,0.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.17054263565891473,0.5,0.0
81,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
82,0.0,1.0,1.0,1.0,0.0,0.75,0.20930232558139536,0.8611111111111112,0.0
83,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.20155038759689922,0.19444444444444445,0.0
84,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.2868217054263566,0.19444444444444445,0.0
85,0.0,1.0,1.0,0.25,0.0,0.08333333333333333,0.3023255813953488,0.3888888888888889,0.0
86,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3875968992248062,0.027777777777777776,0.0
87,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.4496124031007752,0.19444444444444445,0.0
90,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.5736434108527132,0.6111111111111112,0.0
92,1.0,0.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.20155038759689922,0.4722222222222222,0.0
93,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.027777777777777776,0.0
95,0.0,1.0,0.0,0.25,0.16666666666666666,0.4166666666666667,0.46511627906976744,0.6111111111111112,0.0
96,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.3023255813953488,0.5,0.0
97,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.20155038759689922,0.19444444444444445,0.0
98,0.0,1.0,1.0,0.25,0.8333333333333334,0.3333333333333333,0.6744186046511628,0.6388888888888888,1.0
102,1.0,1.0,0.0,0.25,0.3333333333333333,0.08333333333333333,0.46511627906976744,0.6111111111111112,0.0
103,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
105,1.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.46511627906976744,0.5,0.0
107,0.0,1.0,0.0,0.25,1.0,0.75,0.9534883720930233,0.5,0.0
109,0.0,1.0,0.0,0.25,0.16666666666666666,0.08333333333333333,0.5503875968992248,0.5555555555555556,0.0
110,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3875968992248062,0.19444444444444445,0.0
111,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.3875968992248062,0.19444444444444445,0.0
112,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.4496124031007752,0.19444444444444445,0.0
115,0.0,1.0,1.0,0.25,1.0,0.3333333333333333,0.40310077519379844,0.4722222222222222,0.0
116,0.0,1.0,1.0,0.25,0.3333333333333333,0.08333333333333333,0.46511627906976744,0.027777777777777776,0.0
120,0.0,1.0,0.0,0.25,0.0,0.3333333333333333,0.20155038759689922,0.027777777777777776,0.0
124,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.24031007751937986,0.19444444444444445,0.0
125,0.0,1.0,1.0,0.25,0.0,0.08333333333333333,0.5736434108527132,0.6111111111111112,0.0
127,0.0,1.0,1.0,0.25,0.0,0.75,0.7209302325581395,0.8611111111111112,0.0
128,0.0,1.0,1.0,1.0,0.6666666666666666,0.5833333333333334,0.29457364341085274,0.5,0.0
